epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,459.603,1.42527,3.11857,2.13586,1.85467,0.72059,0.39391,0.46327,0.31712,0.71074,0.38779,0.43893,0.26136,1.38836,3.16128,2.14914,1.89396,0.00104231,0.00104231,0.00104231
43,470.168,1.39739,2.98676,2.06268,1.83381,0.73386,0.42369,0.50243,0.34858,0.73378,0.42182,0.49523,0.29711,1.36793,2.96405,1.97578,1.89483,0.00103288,0.00103288,0.00103288
44,480.653,1.39843,3.00531,2.04628,1.81884,0.67871,0.46839,0.50515,0.3363,0.63933,0.44583,0.4745,0.26092,1.34948,3.23263,2.04871,1.8482,0.00102345,0.00102345,0.00102345
45,491.118,1.37801,3.02308,2.03993,1.8065,0.68356,0.48353,0.49431,0.34058,0.66194,0.46758,0.47375,0.2904,1.41511,2.93902,2.07745,1.92082,0.00101402,0.00101402,0.00101402
46,501.57,1.39484,3.05823,2.09203,1.83667,0.6881,0.44173,0.50187,0.34483,0.68386,0.43085,0.47869,0.28354,1.37551,3.05569,1.993,1.88102,0.00100459,0.00100459,0.00100459
47,512.078,1.37273,3.02311,2.02783,1.81069,0.71782,0.46125,0.51681,0.36963,0.71768,0.45472,0.49903,0.30543,1.32993,2.96947,1.9735,1.82839,0.000995156,0.000995156,0.000995156
48,522.541,1.35509,2.99704,2.00767,1.78383,0.62544,0.48526,0.5092,0.34446,0.62287,0.47903,0.47568,0.28831,1.36839,3.16613,2.05378,1.86306,0.000985724,0.000985724,0.000985724
49,533.012,1.34908,2.98027,1.98816,1.80223,0.7055,0.46335,0.51321,0.34907,0.66708,0.45684,0.48539,0.29585,1.38723,3.12548,2.07026,1.87414,0.000976293,0.000976293,0.000976293
50,543.529,1.41226,3.0384,2.09466,1.83279,0.73515,0.49603,0.51418,0.33211,0.73672,0.4687,0.47771,0.27645,1.4942,3.00519,2.21429,1.93275,0.000966861,0.000966861,0.000966861
51,554.053,1.33011,2.95068,1.99214,1.78348,0.66712,0.48773,0.49204,0.32492,0.68274,0.43308,0.46663,0.26756,1.44295,3.04694,2.08272,1.91967,0.00095743,0.00095743,0.00095743
52,564.52,1.35617,3.02113,2.02039,1.76426,0.72881,0.47024,0.52621,0.35406,0.69857,0.45479,0.48969,0.27902,1.42905,3.17472,2.01731,1.91498,0.000947999,0.000947999,0.000947999
53,575.04,1.34616,2.97443,1.99754,1.78322,0.67009,0.48445,0.52746,0.3818,0.68476,0.45973,0.50077,0.32542,1.39401,2.91681,1.99375,1.84361,0.000938567,0.000938567,0.000938567
54,585.559,1.3631,3.01188,2.0185,1.77732,0.78833,0.47163,0.53851,0.37097,0.77603,0.46712,0.51846,0.30089,1.36151,2.94426,1.9704,1.84307,0.000929136,0.000929136,0.000929136
55,596.131,1.34287,2.9303,1.96797,1.75846,0.7145,0.50476,0.54222,0.36575,0.69897,0.48345,0.51445,0.30281,1.35585,3.00908,1.91303,1.8234,0.000919704,0.000919704,0.000919704
56,606.592,1.33774,3.0001,1.96249,1.7477,0.55535,0.44962,0.45562,0.30941,0.53678,0.43479,0.42782,0.24665,1.40738,3.06577,2.21305,1.88082,0.000910273,0.000910273,0.000910273
57,617.076,1.37741,2.98202,2.01567,1.78294,0.68062,0.47423,0.5189,0.33847,0.65823,0.44654,0.48578,0.28094,1.36485,3.0226,1.97795,1.84988,0.000900842,0.000900842,0.000900842
58,627.523,1.33433,2.89615,1.94152,1.73863,0.69133,0.48115,0.53235,0.36337,0.72212,0.46437,0.50759,0.30972,1.37121,2.95799,2.0073,1.80697,0.00089141,0.00089141,0.00089141
59,638.027,1.31072,2.91799,1.9357,1.7186,0.69129,0.53481,0.55348,0.38153,0.67871,0.51102,0.53381,0.32129,1.38266,3.01389,1.94768,1.82369,0.000881979,0.000881979,0.000881979
60,648.456,1.28976,2.87271,1.89363,1.7094,0.66855,0.47973,0.52524,0.35525,0.64561,0.46486,0.49618,0.29114,1.34048,2.99978,1.96138,1.80085,0.000872547,0.000872547,0.000872547
61,658.957,1.3133,2.81907,1.92297,1.73862,0.68671,0.47011,0.51126,0.35481,0.66001,0.45585,0.47924,0.29305,1.33558,3.02205,2.01427,1.79893,0.000863116,0.000863116,0.000863116
62,669.437,1.30288,2.89676,1.90902,1.72337,0.6463,0.45539,0.51531,0.35237,0.63944,0.4418,0.49076,0.30581,1.31607,2.96326,2.05877,1.80053,0.000853685,0.000853685,0.000853685
63,679.914,1.29882,2.86729,1.89912,1.7136,0.73223,0.49713,0.55266,0.39036,0.76832,0.45939,0.53084,0.31787,1.32728,3.01048,1.92009,1.77003,0.000844253,0.000844253,0.000844253
64,690.459,1.31443,2.91862,1.89372,1.72428,0.72505,0.46849,0.54783,0.38445,0.70131,0.45362,0.51431,0.32652,1.35133,2.924,1.89206,1.8297,0.000834822,0.000834822,0.000834822
