epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,1781.97,0.60039,1.18058,0.59629,1.1203,0,0.83606,0.61436,0.70984,0.56209,0.82296,0.60087,0.69134,0.50968,0.87766,2.48164,1.24014,1.32865,0,0.00340988,0.00113663,0.00340988,0.00113663,0.00340988,0.00113663,0.00340988,0.00113663
33,1837.39,0.57798,1.21775,0.56799,1.10146,0,0.75586,0.66323,0.70396,0.54912,0.73438,0.6472,0.69626,0.49055,0.88902,2.61149,1.29225,1.33448,0,0.00338159,0.0011272,0.00338159,0.0011272,0.00338159,0.0011272,0.00338159,0.0011272
34,1892.5,0.5867,1.21319,0.55483,1.11583,0,0.76337,0.6567,0.70127,0.55747,0.82038,0.61211,0.68918,0.51047,0.87224,2.5149,1.2391,1.31105,0,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776
35,1947.71,0.55516,1.12115,0.545,1.08665,0,0.82988,0.60774,0.70967,0.5531,0.82029,0.59892,0.69514,0.50831,0.89453,2.52413,1.19473,1.33711,0,0.003325,0.00110833,0.003325,0.00110833,0.003325,0.00110833,0.003325,0.00110833
36,2002.68,0.58165,1.15557,0.54447,1.12184,0,0.8531,0.6223,0.72204,0.56779,0.85497,0.62275,0.71096,0.50226,0.90118,2.603,1.18414,1.34241,0,0.0032967,0.0010989,0.0032967,0.0010989,0.0032967,0.0010989,0.0032967,0.0010989
37,2058.05,0.59201,1.20177,0.57092,1.12163,0,0.82188,0.64455,0.73097,0.58441,0.82065,0.64567,0.72727,0.52273,0.80597,2.50777,1.12409,1.24452,0,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947
38,2113.36,0.56894,1.11375,0.55018,1.11099,0,0.77863,0.63306,0.70328,0.56897,0.75578,0.63621,0.69237,0.50885,0.79172,2.58779,1.17658,1.25716,0,0.00324011,0.00108004,0.00324011,0.00108004,0.00324011,0.00108004,0.00324011,0.00108004
39,2169.04,0.56512,1.11143,0.5278,1.11314,0,0.84818,0.58795,0.70989,0.56824,0.72946,0.62129,0.68238,0.51012,0.79937,2.61846,1.19806,1.27425,0,0.00321182,0.00107061,0.00321182,0.00107061,0.00321182,0.00107061,0.00321182,0.00107061
40,2224.06,0.55935,1.1506,0.53347,1.10502,0,0.73381,0.66724,0.6981,0.54498,0.72252,0.6591,0.67142,0.49252,0.83989,2.51568,1.29562,1.3359,0,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118
41,2279.34,0.54986,1.08398,0.50566,1.08628,0,0.79843,0.63091,0.69638,0.54283,0.77276,0.61541,0.67354,0.49341,0.83873,2.70106,1.27365,1.32056,0,0.00315523,0.00105174,0.00315523,0.00105174,0.00315523,0.00105174,0.00315523,0.00105174
42,2334.48,0.54094,1.06901,0.52107,1.07128,0,0.80258,0.61897,0.69717,0.54124,0.79171,0.62156,0.68418,0.48729,0.83326,2.5878,1.17274,1.26661,0,0.00312694,0.00104231,0.00312694,0.00104231,0.00312694,0.00104231,0.00312694,0.00104231
43,2389.96,0.54641,1.1003,0.49925,1.08412,0,0.81257,0.64512,0.69067,0.55279,0.79675,0.62975,0.67129,0.49871,0.84164,2.62311,1.23448,1.32938,0,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288
44,2445.6,0.52614,1.02589,0.47911,1.0646,0,0.80656,0.65021,0.70268,0.5524,0.82296,0.61956,0.68347,0.49983,0.9134,2.69673,1.20672,1.38463,0,0.00307035,0.00102345,0.00307035,0.00102345,0.00307035,0.00102345,0.00307035,0.00102345
45,2501.51,0.51935,1.03788,0.48045,1.06066,0,0.81512,0.65387,0.68561,0.53412,0.79155,0.63806,0.6616,0.487,0.88601,2.60587,1.23259,1.38559,0,0.00304206,0.00101402,0.00304206,0.00101402,0.00304206,0.00101402,0.00304206,0.00101402
46,2556.57,0.52001,1.01347,0.48843,1.09014,0,0.76565,0.68225,0.70692,0.55221,0.75011,0.66688,0.68473,0.5068,0.84018,2.62396,1.13403,1.34318,0,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459
47,2611.76,0.52536,1.08088,0.4963,1.06616,0,0.83394,0.62611,0.7036,0.55094,0.81625,0.62363,0.68025,0.50089,0.84082,2.58603,1.16739,1.29281,0,0.00298547,0.000995156,0.00298547,0.000995156,0.00298547,0.000995156,0.00298547,0.000995156
48,2666.65,0.51478,1.02327,0.46826,1.05869,0,0.84056,0.65541,0.71869,0.55436,0.81523,0.63839,0.68617,0.50307,0.86474,2.62455,1.18174,1.35594,0,0.00295717,0.000985724,0.00295717,0.000985724,0.00295717,0.000985724,0.00295717,0.000985724
