epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
51,1823.7,0.53734,0.49735,1.06236,0.76554,0.64036,0.65677,0.50317,1.02778,1.7154,1.45876,0.00287229,0.00095743,0.00287229,0.00095743,0.00287229,0.00095743,0.00287229,0.00095743
52,1859.02,0.55678,0.53569,1.07655,0.7768,0.61978,0.66081,0.5096,0.97581,1.7903,1.42318,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999
53,1894.91,0.55536,0.51701,1.08819,0.80487,0.63779,0.67946,0.52577,0.97173,1.73269,1.42746,0.0028157,0.000938567,0.0028157,0.000938567,0.0028157,0.000938567,0.0028157,0.000938567
54,1930.21,0.54445,0.50785,1.06881,0.80855,0.60288,0.67076,0.536,0.95802,1.81112,1.45213,0.00278741,0.000929136,0.00278741,0.000929136,0.00278741,0.000929136,0.00278741,0.000929136
55,1965.63,0.54261,0.52176,1.06223,0.81951,0.63033,0.69379,0.54828,0.96321,1.7631,1.41223,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704
56,2000.8,0.53152,0.50349,1.06978,0.80131,0.65366,0.67939,0.52301,0.98553,1.78655,1.47273,0.00273082,0.000910273,0.00273082,0.000910273,0.00273082,0.000910273,0.00273082,0.000910273
57,2036.11,0.5528,0.51329,1.0749,0.7738,0.65394,0.6746,0.52025,0.98634,1.74664,1.47663,0.00270252,0.000900842,0.00270252,0.000900842,0.00270252,0.000900842,0.00270252,0.000900842
58,2071.68,0.57674,0.54826,1.09037,0.76025,0.62453,0.68396,0.53183,0.95544,1.79836,1.44988,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141
59,2107.01,0.53456,0.48315,1.06149,0.79139,0.62056,0.67906,0.53022,0.91779,1.8136,1.41413,0.00264594,0.000881979,0.00264594,0.000881979,0.00264594,0.000881979,0.00264594,0.000881979
60,2142.19,0.55455,0.51319,1.07169,0.81436,0.62718,0.66049,0.50748,0.92797,1.77938,1.4115,0.00261764,0.000872547,0.00261764,0.000872547,0.00261764,0.000872547,0.00261764,0.000872547
61,2177.53,0.53587,0.48415,1.05519,0.84091,0.6339,0.66806,0.52072,0.89404,1.80049,1.36693,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116
62,2212.65,0.52966,0.50519,1.04709,0.80455,0.64813,0.67915,0.52497,0.92846,1.77704,1.37121,0.00256105,0.000853685,0.00256105,0.000853685,0.00256105,0.000853685,0.00256105,0.000853685
63,2248.39,0.54134,0.47097,1.0615,0.8046,0.6337,0.68122,0.51934,0.93632,1.76617,1.39091,0.00253276,0.000844253,0.00253276,0.000844253,0.00253276,0.000844253,0.00253276,0.000844253
64,2283.53,0.53926,0.47634,1.05917,0.78031,0.63284,0.67867,0.53445,0.96139,1.78698,1.40278,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822
65,2318.85,0.52966,0.46563,1.0496,0.79051,0.6447,0.66965,0.52705,1.00048,1.85526,1.45167,0.00247617,0.00082539,0.00247617,0.00082539,0.00247617,0.00082539,0.00247617,0.00082539
66,2353.98,0.52499,0.43859,1.03976,0.7823,0.64875,0.6703,0.52166,0.9834,1.87994,1.41182,0.00244788,0.000815959,0.00244788,0.000815959,0.00244788,0.000815959,0.00244788,0.000815959
67,2389.32,0.53873,0.48436,1.04641,0.81873,0.63621,0.69503,0.54884,1.01091,1.80944,1.45308,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528
68,2424.84,0.52333,0.48258,1.03056,0.78014,0.60322,0.66096,0.50506,1.06389,1.89712,1.48374,0.00239129,0.000797096,0.00239129,0.000797096,0.00239129,0.000797096,0.00239129,0.000797096
69,2460.14,0.51916,0.48736,1.04025,0.80673,0.57546,0.65878,0.50138,1.02761,1.89853,1.46002,0.00236299,0.000787665,0.00236299,0.000787665,0.00236299,0.000787665,0.00236299,0.000787665
70,2495.31,0.53108,0.4863,1.0482,0.76307,0.6096,0.66641,0.52547,0.98196,1.87412,1.44733,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233
71,2530.59,0.52344,0.46914,1.04092,0.80421,0.64565,0.70064,0.56591,0.9191,1.72054,1.39825,0.00230641,0.000768802,0.00230641,0.000768802,0.00230641,0.000768802,0.00230641,0.000768802
72,2565.87,0.49795,0.43255,1.02795,0.80904,0.62782,0.71301,0.56614,0.93198,1.72944,1.41024,0.00227811,0.000759371,0.00227811,0.000759371,0.00227811,0.000759371,0.00227811,0.000759371
73,2601.73,0.52266,0.4543,1.04996,0.78824,0.6273,0.6872,0.55292,0.93633,1.81129,1.42688,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939
